#separator:tab
#html:true
#tags column:8
Spanish	English	Swedish	Tag	Example ES	Example EN	Comment	Tag
Posponer	To postpone ✓	Att skjuta upp	Verb	Debemos posponer la reunión.	We must postpone the meeting.	Posponer is used to indicate delaying an event or task.	Verb
La taza	The cup ✓	Muggen	Noun	La taza es blanca.	The cup is white.	La taza refers specifically to the cup in Spanish, indicating a particular cup rather than cups in general.	Noun
Derramar	To spill/shed ✓	Att spilla	Verb	El agua se derramó en el suelo.	The water spilled on the floor.	Derramar is commonly used to describe the act of liquid spilling out of a container.	Verb
Básicamente	Basically ✓	Alltså	Adverb	Básicamente, lo que quiero decir es que debemos trabajar juntos.	Basically, what I want to say is that we should work together.	Básicamente is used to summarize or simplify a statement.	Adverb
Asimismo	Additionally ✓	Också	Adverb	Hoy estudiaré matemáticas. Asimismo, practicaré español.	Today I will study math. Additionally, I will practice Spanish.	Asimismo is an adverb used to add information, similar to additionally in English.	Adverb
Un par de	A pair of ✓	Ett par	Phrase	Un par de zapatos está en la tienda.	A pair of shoes is in the store.	Un par de is used to indicate a small quantity or a couple of items.	Phrase
El acuario	The aquarium ✓	Akvariet	Noun	El acuario está lleno de peces hermosos.	The aquarium is full of beautiful fish.	El acuario is used to refer to a place where aquatic animals are kept and displayed.	Noun
Tragarse	To swallow ✓	Att svälja	Verb	Me voy a tragarse la comida rápidamente.	I am going to swallow the food quickly.	Tragarse is often used to describe the act of swallowing something, usually food or drink.	Verb
El esturión	The sturgeon	Stören ✓	Noun	El esturión nada en el río.	The sturgeon swims in the river.	El esturión refers to a type of fish known for its caviar.	Noun
Tirar la toalla	Give up	Att kasta in handduken ✓	Phrase	No debes tirar la toalla en momentos difíciles.	You should not give up in difficult times.	Tirar la toalla is used to express the idea of giving up or surrendering in a challenging situation.	Phrase
¡Qué mojón!	"That&#x27;s crap! ✓"	Det är skräp!	Interjection	¡Qué mojón! No quiero salir hoy.	¡Qué mojón! I dont want to go out today.	¡Qué mojón! expresses frustration or disappointment about something deemed unsatisfactory.	Interjection
...En absoluto	...at all ✓	Inte	Adverb	No me gusta el café, en absoluto.	I don’t like coffee, at all.	En absoluto is used to emphasize a negative response or feeling.	Adverb
La pasta dentífrica	The toothpaste ✓	Tandkrämen	Noun	La pasta dentífrica es essential para la higiene bucal.	The toothpaste is essential for oral hygiene.	La pasta dentífrica refers specifically to the product used for cleaning teeth.	Noun
Por si no	(just) in case (negative) ✓	För om det inte	Conjunction/subjunction	Por si no viene, llamaremos a su casa.	Just in case he doesnt come, well call his house.	Por si no is used to express a precaution or alternative action in case something doesnt happen.	Conjunction/subjunction
Por si (acaso)	(just) in case (affirmative) ✓	För säkerhets skull	Phrase	Llévate un paraguas, por si acaso.	Take an umbrella, just in case.	Used to indicate a precaution or preparation for a possible future situation.	Phrase
El guardaespaldas	The bodyguard ✓	Livvakt	Noun	El guardaespaldas protege a la celebridad.	The bodyguard protects the celebrity.	El guardaespaldas is commonly used to refer to a person employed for protection.	Noun
Estar/hacer de guardia/guardaespaldas	To be on guard/bodyguard duty ✓	Att vara på vakt/bodyguard-plikt	Phrase	Hoy voy a estar de guardia para proteger a mi amigo.	Today I am going to be on guard to protect my friend.	This phrase is commonly used to describe the role of a security person.	Phrase
El desastre	The disaster ✓	Katastrofen	Noun	El desastre ocurrió en la ciudad.	The disaster occurred in the city.	El desastre refers to a catastrophic event or situation in Spanish.	Noun
Manejado	Managed ✓	Hanterad	Adjective	La situación fue manejada con cuidado.	The situation was managed with care.	Manejado is used to describe how something is handled or dealt with.	Adjective
Romper el hielo	To break the ice (interaction) ✓	Bryta isen	Phrase	Quiero romper el hielo en la reunión.	I want to break the ice in the meeting.	It is commonly used to refer to initiating conversation or interaction in a social setting.	Phrase
Así como	As well as/just as (2) ✓	Såväl som	Conjunction/subjunction	El perro, así como el gato, son mascotas.	The dog, as well as the cat, are pets.	Así como is used to indicate a similarity or addition, connecting two elements.	Conjunction/subjunction
¡Cómo no!	Of course/why not! ✓	Självklart!	Interjection	¡Cómo no! me gustaría ir al cine.	Of course I would like to go to the cinema.	¡Cómo no! is used to express agreement or willingness.	Interjection
Transmitir	To convey ✓	Att överföra	Verb	Es importante transmitir tus ideas claramente.	It is important to transmit your ideas clearly.	Transmitir is used to express the act of conveying information or feelings.	Verb
Escéptico	Sceptical ✓	Skeptisk	Adjective	Soy escéptico sobre las noticias.	I am sceptical about the news.	Escéptico is used to express doubt or disbelief regarding something.	Adjective
Ajá	Aha ✓	Aha	Interjection	Ajá, ahora entiendo.	Aha, now I understand.	Ajá is used to express realization or understanding.	Interjection
Digno	Worthy/dignified ✓	Värdig	Adjective	Él es un hombre digno.	He is a worthy man.	Digno describes someone who deserves respect or admiration.	Adjective
Cometer delitos	Commit crimes ✓	Begå brott	Phrase	No se debe cometer delitos.	One should not commit crimes.	Cometer delitos refers to the act of engaging in illegal activities.	Phrase
Por correo	By mail ✓	Med posten	Preposition	Te enviaré la carta por correo.	I will send you the letter by mail.	Por correo is commonly used to denote sending something through the postal service.	Preposition
Pelarse	To peel off	Att gitta ✓	Verb	Me voy a pelar en la playa.	Im going to peel off at the beach.	Pelarse is often used in the context of getting a sunburn or losing skin.	Verb
Pelear	To get into a fight ✓	Att slåss	Verb	Los niños no deben pelear en la escuela.	The children should not fight at school.	Pelear is commonly used to refer to engaging in a physical confrontation or argument.	Verb
Pelearse	To fight ✓	Att slåss	Verb	Los niños a veces se pelean en el parque.	The children sometimes fight in the park.	Pelearse is commonly used to describe physical or verbal fighting.	Verb
Hoy por tí, mañana por mí!	I help you, and you help me ✓	Idag för dig, imorgon för mig!	Phrase	Hoy por tí, mañana por mí! Es un dicho que refleja la reciprocidad.	Today for you, tomorrow for me! This phrase is often used to express mutual help and support among friends.		Phrase
El anacardo	The cashew ✓	Cashew	Noun	El anacardo es un fruto delicioso.	The cashew is a delicious fruit.	El anacardo refers to the cashew in Spanish, emphasizing its nature as a fruit.	Noun
El bofetón	The slap ✓	Släppen	Noun	El bofetón fue inesperado.	The slap was unexpected.	El bofetón refers to a sudden and often surprising act of hitting someone across the face.	Noun
Desmentir	To deny ✓	Att förneka	Verb	Él desmintió los rumores.	He denied the rumors.	Desmentir is commonly used to refer to the act of stating that something is not true.	Verb
Saber algo de...	Saber algo de...	Att ha kunna/veta/ha koll på... ✓	Phrase	Sabes algo de matemáticas?	Do you know something about math?	Saber algo de... is used to inquire about someones knowledge of a subject.	Phrase
La jornada	The shift/period (e.g work) ✓	Skiftet	Noun	La jornada comenzó a las ocho de la mañana.	The shift started at eight in the morning.	La jornada is commonly used to refer to a work shift or a specific period of time.	Noun
El doblaje	The dubbing	Dubbningen ✓	Noun	El doblaje es una parte esencial del cine.	The dubbing is an essential part of cinema.	El doblaje refers to the process of replacing the original voice in films with another language, making it more accessible to non-native speakers.	Noun
Teletransportarse	To teleport oneself ✓	Att teleportera sig	Verb	Puedo teletransportarme a cualquier lugar.	I can teleport myself anywhere.	Teletransportarse is used to express the action of moving from one place to another instantly.	Verb
Siempre y cuando	As long as / provided that (4) ✓	Så länge	Conjunction/subjunction	Puedo ir a la fiesta siempre y cuando termine mi tarea.	I can go to the party as long as I finish my homework.	Siempre y cuando introduces a condition that must be met for the main clause to be true.	Conjunction/subjunction
Bendecir	To bless	Att välsigna ✓	Verb	Yo quiero bendecir a mi familia.	I want to bless my family.	Bendecir is commonly used to express the act of giving blessings or positive wishes to someone.	Verb
Maldecir	To maldecir	Att förbanna ✓	Verb	No debes maldecir en público.	You should not curse in public.	Maldecir is used to express a strong negative sentiment or to wish harm upon someone.	Verb
Bendito	Blessed	Välsignad  ✓	Adjective	Eres un bendito amigo	You are a blessed friend	Used to describe someone who is fortunate or cherished.	Adjective
Maldito	Cursed	Förbannad, helvetes ✓	Adjective	Ese maldito viento no me deja dormir.	That cursed wind wont let me sleep.	Maldito expresses annoyance or frustration with something.	Adjective
Marchitar	To wither	Att vissna ✓	Verb	Las flores van a marchitar si no las riegas.	The flowers will wither if you dont water them.	Marchitar is used to describe the process of a plant losing vitality or freshness.	Verb
Marchito	Withered	Vissen ✓	Adjective	La planta está marchita.	The plant is withered.	Marchito describes something that is dry or withered, often used for plants.	Adjective
Extender	Extend	Att sträcka ut ✓	Verb	Voy a extender mi mano.	I am going to extend my hand.	Extender means to stretch out or reach out.	Verb
Extenso	Extensive	Utsträckt, omfattande ✓	Adjective	El informe es extenso.	The report is extensive.	The adjective extenso is used to describe something that is large in scope or range.	Adjective
Extinguir	To extinguish	Att släcka ✓	Verb	Voy a extinguir el fuego.	I am going to extinguish the fire.	Extinguir is used to describe the action of putting out a fire or extinguishing something.	Verb
Extinto	Extinguished	Utdöd ✓	Adjective	El mamífero dodo está extinto.	The dodo bird is extinct.	Extinto refers to something that no longer exists.	Adjective
La beca	The scholarship	Stipendiet ✓	Noun	La beca es importante para los estudiantes.	The scholarship is important for students.	La beca refers to a financial aid program for students.	Noun
Llevar puesto	Wear	Att ha på /sig/ ✓	Phrase	Yo llevo puesto un abrigo.	I am wearing a coat.	Llevar puesto is commonly used to express what someone is currently wearing.	Phrase
La escoba, El cepillo	The broom, the brush	Borsten, kvasten ✓	Noun	La escoba y el cepillo están en la cocina.	The broom and the brush are in the kitchen.	La escoba refers to the broom and El cepillo refers to the brush, both common household items in Spanish.	Noun
